shadingEngine,SG
anisotropic,_A
blinn,_Blinn
lambert,_Lambert
oceanShader,_OceanShader
layeredShader,_LayeredShader
phong,_Phong
phongE,_PhongE
rampShader,_RampShader
shadingMap,_ShadingMap
surfaceShader,_SurfaceShader
useBackground,_UseBackground
bulge,_bulge01
checker,_checker01
cloth,_cloth01
file,_file01
fractal,_fractal01
grid,_grid01
mountain,_mountain01
movie,_movie01
noise,_noise01
displacementShader,_displacementShader
ocean,_ocean01
ramp,_ramp01
water,_water01
brownian,_brownian01
cloud,_cloud01
crater,_crater01
leather,_leather01
marble,_marble01
rock,_rock01
snow,_snow01
solidFractal,_solidFractal01
stucco,_stucco01
volumeNoise,_volNoise01
wood,_wood01
envBall,_envBall
envChrome,_envChrome
envCube,_envCube
envSphere,_envSphere
layeredTexture,_layeredTexture
arraymapper,_arrayMapper
bump2d,_Bump2d01
bump3d,_Bump3d01
condition,_Cond
heightField,_HeightField
lightInfo,_LightInfo
multiplyDivide,_MultDiv
place2dTexture,_p2d01
place3dTexture,_p3d01
plusMinusAverage,_Average
projection,_Proj
reverse,_Reverse
samplerInfo,_SamplerInfo01
setRange,_SetRange
stencil,_Stencil
uvChooser,_UvCchooser
vectorProduct,_VectorProd
blendColors,_BlendColors
clamp,_Clamp
contrast,_Contrast
gammaCorrect,_GammaCorrect
hsvToRgb,_Hsv2Rgb01
luminance,_Luminance
rgbToHsv,_Rgb2Hsv01
remapHsv,_remapHsv01
surfaceLuminance,_SurfaceLuminance
doubleSwitch,_2_Switch
quadSwitch,_4_Switch
singleSwitch,_1_Switch
tripleSwitch,_3_Switch
RedshiftMaterial,_MAT
RedshiftArchitectural,_Architectural
RedshiftCarPaint,_CarPaint
RedshiftMaterialBlender,_MAT
RedshiftSubSurfaceScatter,_SSS
RedshiftIncandescent,_Incandescent
RedshiftSprite,_Sprite
RedshiftMatteShadowCatcher,_MatteShadowCatcher
RedshiftBumpMap,_Bump
RedshiftDisplacement,_Displacement
RedshiftRaySwitch,_RaySwitch
RedshiftBumpBlender,_BumpBlender
RedshiftDisplacementBlender,_DisplacementBlender
RedshiftNormalMap,_NormalMap
RedshiftVertexColor,_VertexColor
RedshiftEnvironment,_Env
RedshiftAmbientOcclusion,_AmbOcc
RedshiftPhotographicExposure,_PhotoExposure
VRayBlendMtl,_VRayBlendMtl
VRayBumpMtl,_VRayBumpMtl
VRayCarPaintMtl,_VRayCarPaintMtl
VRayFastSSS2,_VRayFastSSS2
VRayFlakesMtl,_VRayFlakesMtl
VRayLightMtl,_VRayLightMtl
VRayMeshMaterial,_VRayMeshMaterial
VRayMtl,_VRayMtl
VRayMtl2Sided,_VRayMtl2Sided
VRayMtlGLSL,_VRayMtlGLSL
VRayMtlWrapper,_VRayMtlWrapper
VRaySkinMtl,_VRaySkinMtl
VRaySwitchMtl,_VRaySwitchMtl
VRayVRmatMtl,_VRayVRmatMtl
VRayDirt,_VRayDirt
VRayEdges,_VRayEdges
VRayFresnel,_VRayFresnel
VRayRaySwitch,_VRayRaySwitch
VRayVertexColors,_VRayVertexColors
VRayWater,_VRayWater
VRayPtex,_VRayPtex
VRayCurvature,_VRayCurvature
VRayDistanceTex,_VRayDistanceTex
VRayPlaceEnvTex,_VRayPlaceEnvTex
aiStandard,_aiStandard
aiImage,_aiImg
aiNoise,_aiNoise
aiAmbientOcclusion,_aiAmbOcc
aiHair,_aiHair
aiRaySwitch,_aiRaySwitch
aiShadowCatcher,_aiShadowCatcher
aiSkin,_aiSkin
aiUtility,_aiUtility
aiWireframe,_aiWireframe
aiBump2d,_aiBump2d
aiBump3d,_aiBump3d
aiMotionVector,_aiMotionVector
aiUserDataBool,_aiUserDataBool
aiUserDataColor,_aiUserDataColor
aiUserDataFloat,_aiUserDataFloat
aiUserDataInt,_aiUserDataInt
aiUserDataPnt2,_aiUserDataPnt2
aiUserDataString,_aiUserDataString
aiUserDataVector,_aiUserDataVector
aiWriteColor,_aiWriteColor
aiWriteFloat,_aiWriteFloat
aiSky,_aiSky
aiPhysicalSky,_aiPhysicalSky
mia_material,_mia
mia_material_x,_miaX
mia_material_x_passes,_miaXpasses
mila_material,_mila
misss_fast_shader,_misss_fast_shader
misss_fast_shader2_x,_misss_fast_shader2_x
misss_fast_lmap_maya,_misss_fast_lmap_maya
misss_fast_shader_x_passes,_misss_fast_shader_x_passes
misss_fast_simple_maya,_misss_fast_simple_maya
misss_fast_skin_maya,_misss_fast_skin_maya
misss_physical,_misss_physical
mi_car_paint_phen,_mi_car_paint_phen
mi_car_paint_phen_x,_mi_car_paint_phen_x
mi_car_paint_phen_x_passes,_mi_car_paint_phen_x_passes
mi_metallic_paint,_mi_metallic_paint
mi_metallic_paint_x,_mi_metallic_paint_x
mi_metallic_paint_x_passes,_mi_metallic_paint_x_passes
mentalrayTexture,_mentalrayTexture
